device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Micromax Canvas Spark ,4.7,,,,,134.0,"Android OS, v5.0 (Lollipop)",1,8,1,2,8.0,1.0,32,2000,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,"5,099"
Micromax Bolt Q333 ,4.5,,,,,,"Android OS, v4.4 (KitKat)",1,5,1,2,4.0,0.5,32,1700,,,4.0,,1.2,,"4,950"
Micromax Canvas Spark 2 ,5.0,,,,,154.0,Android v5.1 (Lollipop),1,5,1,2,4.0,0.75,32,1800,,Cortex-A7,4.0,Mediatek MT6580M,1.3,Mali-400MP2,"4,099"
Micromax Bolt D304 ,4.0,,,,,,"Android OS, v5.0 (Lollipop)",1,3.2,2,0+3,4.0,0.5,32,1300,,,2.0,,1.2,,"3,999"
Micromax X853 ,3.5,,,,,,,1,0.3,0,,0.03125,,8,1000,,,,,,,"3,990"
Micromax Bolt Q326 Plus ,4.0,,,,,,"Android OS, v5.0 (Lollipop)",1,5,2,0+3,8.0,1.0,32,1400,,,4.0,,1.3,,"3,595"
Micromax Bolt Q335 ,4.5,,,,,,"Android OS, v4.4 (Kitkat)",1,5,1,2,4.0,0.5,32,1650,,,4.0,Spreadtrum SC7731,1.2,,"3,302"
Micromax Bolt A24 ,2.8,,,,,,"Android OS, v2.3.5 (Gingerbread)",1,0.3,0,,0.5,0.25,16,1200,,Cortex-A5,,,1.0,,"2,999"
Micromax Bolt D303 ,4.0,,,,,,"Android OS, v4.4 (KitKat)",1,3.2,2,0+3,4.0,0.5,32,1300,,Cortex-A7,2.0,Mediatek MT6572M,1.3,Mali-400,"2,890"
Micromax Bolt A064 ,3.5,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,4.0,0.5,32,1400,,,2.0,,1.3,,"2,400"
Micromax X904 ,2.8,,,,,,,1,0.3,0,,,,MicroSD,1200,,,,,,,"1,599"
Micromax X2400 ,2.4,,,,,,,1,0.3,0,,,,8,2300,,,,,,,"1,301"
Micromax X989 ,4.0,,,,,,,1,0.3,0,,,,8,1200,,,,,,,"2,999"
Micromax X806 ,1.7,,,,,,,1,0.3,0,,300KB,,8,1800,,,,,,,"2,968"
Micromax Bolt A61 ,4.0,,5.3,2.6,0.3,,"Android OS, v4.1 (Jelly Bean)",1,2,2,0+3,0.5,0.25,16,1500,,,,,1.0,,"2,895"
